Corredor,Lugar,Genero,Edad,Pais,Tiempo,Velocidad
20135,20479,Female,39,CAN,3186333333,Lento
23128,23499,Male,67,GA,4316166667,Lento
4833,4969,Male,35,GBR,2270166667,Regular
22111,22469,Female,42,NY,353.1,Lento
15975,16264,Female,30,MA,2840166667,Regular
22968,23338,Female,31,NY,4074333333,Lento
9482,9692,Male,44,FRA,2526333333,Regular
15726,16010,Male,44,MEX,283.75,Regular
3388,3502,Female,38,GBR,2183833333,Regular
2504,2596,Male,27,MEX,2070166667,Regular
23231,23603,Female,58,NY,4671833333,Lento
5755,5909,Male,36,NY,2314166667,Regular
12426,12677,Male,36,NED,2651333333,Regular
488,507,Male,33,CT,1773666667,Veloz
16982,17290,Male,40,NY,2921333333,Regular
5918,6077,Female,28,NY,234.2,Regular
12031,12275,Female,32,NY,264.5,Regular
3855,3979,Male,36,FRA,2213833333,Regular
8902,9104,Female,23,NY,2473166667,Regular
6523,6693,Male,33,MA,2362333333,Regular
6080,6240,Male,42,NY,2357333333,Regular
15601,15883,Male,41,GBR,284.25,Regular
5617,5768,Female,40,MEX,2323833333,Regular
11867,12107,Male,40,GBR,2651166667,Regular
5179,5322,Male,33,ITA,2304166667,Regular
20590,20939,Female,25,KOR,3271666667,Lento
20343,20690,Male,27,GBR,321.55,Lento
12955,13208,Male,51,MEX,2689666667,Regular
10601,10826,Female,56,SWE,2585333333,Regular
8855,9057,Male,48,GER,2492666667,Regular
20719,21068,Male,33,NY,3269333333,Lento
12715,12967,Male,51,GER,2681833333,Regular
10962,11191,Male,51,RSA,2569833333,Regular
11270,11503,Male,32,NY,256.5,Regular
11860,12100,Female,32,NY,263.85,Regular
15203,15480,Male,69,FRA,276.5,Regular
18838,19171,Male,44,ITA,3064166667,Lento
6981,7158,Female,38,GBR,239.55,Regular
11141,11372,Female,31,GBR,259.2,Regular
14695,14966,Male,53,NED,2776833333,Regular
4450,4582,Male,44,MO,2197666667,Regular
4675,4808,Male,44,NY,227.2,Regular
13346,13602,Male,51,NM,2722166667,Regular
400,417,Male,33,NY,1753666667,Veloz
10217,10437,Female,41,GBR,2545333333,Regular
4993,5131,Male,33,NY,2267666667,Regular
3476,3593,Male,32,NY,219.05,Regular
1927,1996,Male,30,NZL,2046333333,Regular
18859,19192,Male,40,GBR,3052833333,Lento
11424,11659,Male,60,NY,2627666667,Regular
6944,7121,Male,42,LAN,238.95,Regular
20992,21344,Female,65,JPN,3289333333,Lento
358,371,Male,26,GER,173.6,Veloz
16106,16397,Female,38,GER,2876333333,Regular
22743,23112,Male,81,ITA,389,Lento
4784,4919,Male,31,NJ,226.8,Regular
5647,5798,Female,33,NY,2293166667,Regular
7941,8133,Male,61,FRA,244.3,Regular
15924,16212,Female,40,NY,2848166667,Regular
6091,6251,Male,32,IL,2345833333,Regular
510,532,Male,66,ESP,1785833333,Veloz
11198,11430,Male,59,NY,2626833333,Regular
11001,11230,Male,40,FRA,2592333333,Regular
8706,8908,Male,43,MI,247.95,Regular
23003,23373,Male,18,MEX,4083333333,Lento
535,558,Male,60,ITA,1795166667,Veloz
22810,23180,Female,36,GBR,3940833333,Lento
9022,9224,Male,44,NJ,2513666667,Regular
1389,1441,Male,34,MI,197.2,Veloz
5362,5508,Male,41,CAN,230.35,Regular
13266,13522,Male,44,PA,2684166667,Regular
4904,5041,Male,25,NY,2282833333,Regular
8486,8685,Female,21,FRA,2480333333,Regular
495,517,Male,32,SUI,1777166667,Veloz
12666,12918,Male,38,NY,2668333333,Regular
17051,17360,Male,33,NY,2913833333,Regular
2519,2613,Female,22,OR,2090666667,Regular
22508,22873,Female,33,TX,369.35,Lento
20736,21085,Male,61,FL,326.7,Lento
11393,11627,Male,33,NY,2580333333,Regular
22565,22932,Female,41,LA,3719833333,Lento
20645,20994,Male,45,NY,325.95,Lento
9649,9862,Female,34,CAN,2523666667,Regular
16182,16475,Male,36,GBR,2868166667,Regular
493,515,Male,29,ITA,1776333333,Veloz
20643,20992,Male,43,NY,326.05,Lento
14963,15236,Male,21,FL,276.65,Regular
8556,8756,Male,52,DEN,2469666667,Regular
4751,4885,Female,41,NY,2250833333,Regular
13853,14115,Male,59,FRA,2739833333,Regular
13539,13798,Male,56,SUI,2719666667,Regular
14262,14528,Male,31,NY,2706666667,Regular
1688,1752,Male,43,NY,201.95,Regular
13459,13718,Female,27,GER,270.05,Regular
20009,20350,Female,28,NJ,3205333333,Lento
6444,6613,Male,54,FRA,2364333333,Regular
10527,10752,Male,38,NJ,258,Regular
8526,8725,Male,31,MA,2474166667,Regular
11896,12137,Male,44,VEN,2649166667,Regular
854,885,Male,40,FRA,1874166667,Veloz
956,991,Male,35,FRA,1894666667,Veloz
23145,23516,Male,76,NY,4308166667,Lento
23094,23464,Male,51,NY,4268833333,Lento
17753,18076,Male,51,NY,297.2,Regular
23230,23602,Male,73,NY,460.8,Lento
17141,17454,Female,53,GA,2892666667,Regular
13212,13468,Female,29,NED,2710666667,Regular
4447,4579,Male,42,MEX,223.05,Regular
10115,10334,Female,44,NY,2564833333,Regular
21284,21638,Male,43,CA,3322333333,Lento
16809,17113,Female,33,FL,290.3,Regular
8510,8709,Male,47,FRA,2479333333,Regular
1525,1583,Male,53,NJ,1995833333,Veloz
22073,22431,Female,32,GBR,3532166667,Lento
22509,22874,Female,51,TX,369.35,Lento
19034,19366,Female,34,FRA,3075333333,Lento
6555,6725,Female,36,NY,2350833333,Regular
18172,18501,Male,40,GBR,2991333333,Regular
5076,5215,Male,48,ITA,2295166667,Regular
13184,13440,Male,31,PER,2713666667,Regular
14170,14436,Male,30,NY,2744333333,Regular
9746,9959,Male,30,IL,251.85,Regular
11733,11973,Male,31,GA,2618333333,Regular
6656,6828,Female,25,NY,2383333333,Regular
23143,23514,Male,38,IRL,4338833333,Lento
3849,3972,Female,44,GBR,220.25,Regular
6407,6576,Male,53,GER,231.8,Regular
6593,6763,Male,38,NY,2375333333,Regular
8282,8480,Female,42,NJ,244.95,Regular
20669,21018,Male,70,JPN,3229833333,Lento
8622,8823,Female,20,MEX,2448833333,Regular
5933,6092,Male,51,NJ,2340166667,Regular
13819,14081,Male,29,MN,2729833333,Regular
11619,11857,Male,31,MN,2596166667,Regular
9254,9457,Male,42,FRA,2517833333,Regular
14824,15096,Female,33,IL,2800666667,Regular
22506,22871,Female,32,NY,370.6,Lento
14304,14570,Female,26,DC,277.6,Regular
14356,14622,Male,51,FRA,2776833333,Regular
9697,9910,Male,53,NED,2532833333,Regular
13837,14099,Female,28,NY,2748833333,Regular
20516,20863,Female,24,NJ,324.15,Lento
21476,21831,Female,42,CA,3417666667,Lento
22009,22365,Female,34,NY,350.25,Lento
17221,17535,Female,55,TN,295.5,Regular
8023,8216,Female,40,NC,2455166667,Regular
17013,17322,Male,29,GBR,2936666667,Regular
18786,19119,Male,33,GA,302.55,Lento
14521,14787,Female,30,MA,275.1,Regular
15389,15669,Male,41,NY,282.6,Regular
21214,21568,Male,22,NY,3305666667,Lento
8057,8250,Male,33,DC,242.15,Regular
253,265,Male,29,FIN,1681833333,Veloz
8439,8638,Male,42,NJ,2447166667,Regular
8107,8300,Female,32,MA,2462666667,Regular
14984,15257,Female,20,CA,278.8,Regular
347,359,Male,38,FRA,173.15,Veloz
14856,15129,Female,30,JPN,2798166667,Regular
2971,3077,Female,34,NED,2146333333,Regular
14637,14906,Male,35,GBR,2782166667,Regular
7947,8139,Female,30,NJ,2447666667,Regular
12609,12861,Female,44,TX,2680666667,Regular
13101,13355,Male,51,FRA,269.95,Regular
1259,1306,Male,44,NY,195.35,Veloz
13296,13552,Female,43,CA,272.4,Regular
14312,14578,Male,49,CAN,2767833333,Regular
1544,1603,Male,42,MA,1982166667,Veloz
13172,13427,Male,32,NY,2720166667,Regular
18088,18417,Female,35,PA,298.35,Regular
11741,11981,Female,38,NY,2626833333,Regular
20901,21253,Male,39,NED,3306166667,Lento
12110,12354,Female,48,NOR,265.4,Regular
9335,9541,Male,36,CT,253.3,Regular
4648,4781,Male,56,FRA,224.65,Regular
17361,17681,Female,31,CT,2957166667,Regular
16803,17107,Female,30,NJ,2910666667,Regular
3460,3577,Male,33,FL,2182833333,Regular
17478,17799,Male,52,FL,289.7,Regular
6932,7109,Male,23,GBR,2382333333,Regular
10380,10603,Male,39,NED,2510833333,Regular
22333,22694,Male,49,NY,3665833333,Lento
7087,7267,Male,32,CA,238.25,Regular
2176,2255,Female,32,NY,207.15,Regular
19716,20054,Male,29,ITA,313.3,Lento
19305,19641,Male,33,ITA,3107166667,Lento
6398,6567,Male,54,GBR,2355333333,Regular
12038,12282,Male,36,FRA,265.5,Regular
4300,4429,Male,38,VEN,2247166667,Regular
837,868,Male,40,NY,1869166667,Veloz
7035,7215,Male,33,OH,2390666667,Regular
18565,18895,Female,32,CA,3000166667,Lento
13022,13276,Male,40,DEN,2700333333,Regular
623,646,Male,24,JPN,181.9,Veloz
19271,19607,Male,41,NJ,305.95,Lento
23180,23551,Female,48,IRL,4398333333,Lento
2003,2075,Male,33,NJ,2052666667,Regular
17850,18175,Male,67,ESP,2966333333,Regular
10742,10968,Female,22,CA,258.7,Regular
18260,18589,Male,5,,3026833333,Lento
15161,15436,Female,40,NY,2811333333,Regular
5120,5260,Male,56,ITA,230.05,Regular
8987,9189,Female,30,NY,2487666667,Regular
5134,5276,Male,26,NY,227.8,Regular
10474,10698,Male,53,NY,258.15,Regular
14177,14443,Female,38,NED,272.15,Regular
7855,8043,Male,41,FRA,243.6,Regular
16822,17127,Male,54,OR,2906166667,Regular
18998,19330,Male,43,NY,3062833333,Lento
17059,17368,Female,24,NY,288.55,Regular
991,1028,Male,34,ITA,1898166667,Veloz
10860,11088,Female,40,FL,2577833333,Regular
10593,10818,Male,27,NY,2592833333,Regular
23221,23593,Male,51,NY,454.65,Lento
2806,2906,Male,23,NY,212.65,Regular
4576,4708,Female,43,OH,2234333333,Regular
15630,15912,Male,41,MO,2856166667,Regular
13884,14146,Male,40,MA,2700666667,Regular
8782,8984,Male,47,FRA,2471333333,Regular
10116,10335,Male,21,IRL,256.2,Regular
7241,7424,Female,30,GBR,2394166667,Regular
4528,4660,Male,33,FL,2262333333,Regular
22746,23115,Female,20,GBR,387.4,Lento
16932,17239,Male,55,NY,2930166667,Regular
6007,6166,Male,32,NY,2334833333,Regular
9897,10112,Female,31,NY,2504333333,Regular
20111,20455,Female,31,MA,316.7,Lento
16376,16670,Male,31,NJ,2888166667,Regular
13256,13512,Male,36,NJ,2724666667,Regular
10377,10600,Female,36,JPN,2583333333,Regular
20137,20481,Male,72,ARG,3218666667,Lento
22695,23063,Male,41,LA,3829333333,Lento
18666,18997,Male,58,NY,3057333333,Lento
13718,13979,Male,32,GBR,2725666667,Regular
13120,13374,Female,35,NY,271.4,Regular
20511,20858,Male,42,ITA,321.35,Lento
1943,2012,Female,30,NY,2049333333,Regular
13451,13710,Male,33,NY,2728166667,Regular
3563,3681,Male,44,GER,2174666667,Regular
17033,17342,Female,32,NY,2878666667,Regular
17444,17765,Male,38,NED,293.05,Regular
2691,2789,Male,32,PA,210.65,Regular
3265,3378,Male,48,CHI,217.35,Regular
6231,6395,Male,38,AUS,230.75,Regular
6766,6940,Male,31,NJ,2378833333,Regular
3910,4034,Male,32,NY,221.15,Regular
22578,22945,Female,33,NJ,379.85,Lento
22829,23199,Male,37,NJ,3982666667,Lento
15360,15639,Male,50,NY,2837833333,Regular
1014,1054,Male,52,PR,191.05,Veloz
16775,17079,Female,33,BEL,2903333333,Regular
5550,5701,Male,32,MA,230.1,Regular
5942,6101,Male,22,GBR,2333833333,Regular
6233,6397,Male,43,NY,2354833333,Regular
19089,19422,Male,34,GA,3049666667,Lento
13834,14096,Male,46,MEX,2735166667,Regular
19636,19973,Male,34,NY,315.75,Lento
5817,5974,Male,49,MEX,2343166667,Regular
4517,4649,Male,31,CAN,2252833333,Regular
9747,9960,Male,58,DEN,2542166667,Regular
23149,23520,Female,32,GBR,4341833333,Lento
6742,6915,Male,42,VA,238.85,Regular
5731,5883,Male,43,ITA,233.75,Regular
10932,11160,Male,43,IL,2589166667,Regular
11627,11865,Male,41,CA,2623666667,Regular
7895,8087,Male,30,NJ,244.05,Regular
18618,18949,Male,66,GER,3025166667,Lento
21125,21478,Female,53,FRA,3300666667,Lento
22241,22599,Male,30,TX,359.45,Lento
19826,20164,Female,31,NJ,3160333333,Lento
22979,23349,Female,31,CA,404.55,Lento
2452,2543,Male,33,NY,2087833333,Regular
3565,3683,Female,30,NY,219.5,Regular
5192,5335,Male,33,NY,229.35,Regular
6552,6722,Male,24,NY,2305333333,Regular
19912,20250,Male,70,MI,318.05,Lento
5705,5857,Female,27,NY,233.45,Regular
23090,23460,Male,62,FL,4230166667,Lento
20491,20838,Female,21,GBR,3212333333,Lento
9544,9757,Male,46,VEN,2540666667,Regular
7568,7753,Female,33,MA,2400333333,Regular
20973,21325,Male,46,NY,3342166667,Lento
8784,8986,Male,50,FRA,2472833333,Regular
3029,3137,Male,40,CT,2143666667,Regular
14400,14666,Male,39,GBR,2759166667,Regular
19376,19712,Female,23,NY,3056333333,Lento
17911,18237,Male,52,ITA,2981833333,Regular
1759,1825,Male,36,FRA,2025333333,Regular
13335,13591,Female,35,NY,2682333333,Regular
2104,2181,Male,29,WA,2051833333,Regular
19588,19925,Male,29,IL,312.5,Lento
3521,3638,Male,53,FRA,2189666667,Regular
3443,3559,Male,44,PA,2186666667,Regular
20774,21124,Male,46,FRA,325.6,Lento
17786,18111,Male,54,NY,295.2,Regular
15923,16211,Male,41,NY,284.4,Regular
9204,9407,Male,47,VEN,2519666667,Regular
10297,10520,Female,40,NY,258.4,Regular
8476,8675,Male,42,GER,2471666667,Regular
21197,21551,Male,37,GBR,3328166667,Lento
4329,4458,Female,31,IL,2248666667,Regular
8416,8615,Male,50,FRA,2422666667,Regular
1702,1766,Male,35,CHI,2014666667,Regular
6966,7143,Male,50,WA,2390833333,Regular
18374,18703,Male,40,VA,2983333333,Regular
15515,15795,Male,32,DC,2837666667,Regular
11573,11810,Male,62,ITA,263.2,Regular
19246,19581,Male,46,FIN,305.9,Lento
8114,8307,Male,34,ITA,2445666667,Regular
15339,15618,Female,30,NY,282.25,Regular
969,1004,Male,26,NY,1898833333,Veloz
5161,5304,Male,31,CAN,2301333333,Regular
19162,19496,Male,55,NY,310.2,Lento
21070,21422,Male,58,ITA,3326833333,Lento
5892,6051,Female,41,ITA,234.3,Regular
16603,16905,Male,47,NED,2852833333,Regular
23282,23654,Male,69,NY,5080833333,Lento
17737,18060,Male,33,GA,296.45,Regular
4793,4928,Male,54,MD,2264333333,Regular
9378,9586,Male,53,NC,246.85,Regular
22207,22565,Male,50,AZ,3594666667,Lento
4318,4447,Male,46,GER,2244166667,Regular
7605,7790,Male,31,VA,2415666667,Regular
13406,13664,Male,35,SUI,266.45,Regular
17597,17918,Male,43,NY,2916166667,Regular
6037,6196,Male,32,TX,2340166667,Regular
861,892,Female,30,CA,1877333333,Veloz
21157,21510,Female,56,FRA,3332833333,Lento
20271,20617,Female,21,GBR,3190333333,Lento
19547,19884,Male,41,NY,3133666667,Lento
18714,19045,Female,33,TX,305.3,Lento
9778,9991,Male,30,GBR,250.8,Regular
2222,2303,Male,23,NY,2065666667,Regular
9260,9463,Female,30,MD,250.95,Regular
12686,12938,Male,34,NY,2649833333,Regular
16292,16586,Male,39,TX,2880666667,Regular
21799,22154,Female,32,NY,3507833333,Lento
22640,23008,Male,50,CA,379.3,Lento
22378,22742,Female,31,TX,3634666667,Lento
3018,3126,Male,40,NY,2151333333,Regular
9178,9380,Male,48,NOR,2518333333,Regular
21467,21822,Male,36,CT,343.6,Lento
7728,7915,Male,34,MEX,2406833333,Regular
21586,21941,Male,69,SD,339.05,Lento
17523,17844,Male,47,PER,2955166667,Regular
13894,14156,Female,29,DEN,2742333333,Regular
14366,14632,Female,49,FRA,2777666667,Regular
4367,4496,Male,40,FRA,224.8,Regular
19024,19356,Male,60,GER,3024666667,Lento
12549,12800,Male,37,GBR,2657666667,Regular
3695,3814,Female,36,CT,2205833333,Regular
2734,2833,Male,34,ITA,2121666667,Regular
7725,7912,Male,30,MA,242.4,Regular
10426,10649,Female,33,NY,2589666667,Regular
14628,14897,Male,39,NY,277.55,Regular
21569,21924,Male,50,NY,3399833333,Lento
9373,9581,Male,32,NJ,2533166667,Regular
16144,16437,Female,33,VA,2874666667,Regular
20740,21089,Male,42,NY,3304166667,Lento
4243,4370,Male,48,ESP,2245333333,Regular
8386,8585,Male,61,NJ,247.75,Regular
796,827,Male,36,ITA,1863833333,Veloz
8331,8529,Male,30,NY,245.4,Regular
286,298,Male,33,NY,1696666667,Veloz
9128,9330,Male,48,OR,249.2,Regular
476,495,Male,46,FRA,1776166667,Veloz
11496,11732,Male,51,FRA,261.8,Regular
21089,21441,Male,52,NY,330.8,Lento
4643,4776,Male,36,NED,225.45,Regular
20945,21297,Female,43,NJ,328,Lento
17339,17658,Male,32,NY,2928666667,Regular
11719,11959,Female,40,AUT,262.95,Regular
15579,15860,Female,34,CAN,283.8,Regular
19993,20334,Male,22,SC,3131666667,Lento
13314,13570,Female,30,CAN,270.2,Regular
16212,16506,Female,33,NED,284.4,Regular
13088,13342,Female,22,VA,2685166667,Regular
21900,22255,Female,33,PER,3476333333,Lento
354,367,Male,43,CA,1733666667,Veloz
19880,20218,Female,50,SWE,3165666667,Lento
7823,8010,Female,41,CAN,244.45,Regular
12431,12682,Male,31,NY,266.1,Regular
2660,2757,Male,33,ARG,211.7,Regular
1162,1207,Male,40,SUI,193.2,Veloz
21405,21759,Male,30,NJ,3379666667,Lento
17216,17530,Male,52,PA,290.45,Regular
3917,4041,Male,39,NY,221.35,Regular
7275,7458,Male,33,ITA,237.45,Regular
18421,18750,Female,50,WA,2969166667,Regular
4628,4760,Male,33,NY,225.7,Regular
15268,15546,Male,48,GER,282.1,Regular
3520,3637,Female,31,NY,2194333333,Regular
18272,18601,Male,42,NY,299.9,Regular
3580,3698,Male,40,SUI,2182333333,Regular
20388,20735,Female,44,FRA,3214166667,Lento
429,446,Male,55,NOR,1762333333,Veloz
20903,21255,Female,27,NY,332.2,Lento
23290,23662,Female,69,NY,5667833333,Lento
17011,17320,Male,30,GBR,2911666667,Regular
16928,17235,Male,42,NY,2912166667,Regular
21153,21506,Male,50,GBR,332.3,Lento
9239,9442,Male,56,NY,2525333333,Regular
18143,18472,Female,40,NJ,2940166667,Regular
323,335,Male,32,SWE,1715666667,Veloz
19266,19602,Male,52,NY,3114833333,Lento
21561,21916,Female,30,NJ,3404166667,Lento
4193,4320,Male,44,NJ,224.3,Regular
9493,9704,Male,35,NY,252.3,Regular
10649,10874,Male,31,NY,2569833333,Regular
9640,9853,Male,72,ID,2548333333,Regular
12099,12343,Male,34,NY,2650166667,Regular
6038,6197,Male,58,GBR,2343166667,Regular
652,676,Male,41,MI,182.7,Veloz
22198,22556,Female,50,CAN,3598666667,Lento
8123,8317,Male,31,NY,2452833333,Regular
3915,4039,Male,30,NY,2216833333,Regular
7508,7693,Male,57,FRA,2404666667,Regular
17691,18014,Male,35,NED,2949166667,Regular
9099,9301,Male,22,VT,2507166667,Regular
15155,15429,Male,48,NJ,2803666667,Regular
19359,19695,Female,51,NJ,3122166667,Lento
15255,15533,Male,44,GBR,2790333333,Regular
11440,11675,Male,63,ITA,2621166667,Regular
20847,21199,Male,71,SWE,3311333333,Lento
22258,22616,Male,24,GBR,3616666667,Lento
5051,5189,Female,41,PER,2289666667,Regular
7377,7561,Male,40,NY,2391333333,Regular
11891,12132,Male,33,NY,265.3,Regular
15619,15901,Female,23,CT,2827666667,Regular
21012,21364,Male,31,CA,3326833333,Lento
10535,10760,Male,43,NY,258.5,Regular
17870,18195,Male,32,NY,2983166667,Regular
3713,3832,Male,42,NY,220.3,Regular
21246,21600,Female,33,NY,3323833333,Lento
14214,14480,Female,36,PA,2773833333,Regular
19890,20228,Male,29,GBR,3167666667,Lento
7025,7205,Female,30,CA,2394833333,Regular
19525,19862,Female,46,NY,313.75,Lento
10442,10665,Male,22,NJ,2562666667,Regular
2418,2509,Male,22,COL,207.5,Regular
17943,18270,Male,31,ME,299.3,Regular
14860,15133,Female,23,NY,2750333333,Regular
2346,2433,Male,44,NJ,2081666667,Regular
15163,15439,Female,24,NY,280.1,Regular
6842,7017,Male,40,FRA,2378666667,Regular
8844,9046,Male,33,CA,2485166667,Regular
1234,1281,Female,35,NY,194.95,Veloz
4070,4197,Male,46,ITA,2227833333,Regular
10971,11200,Male,50,NOR,2608333333,Regular
3817,3939,Male,45,NY,2205166667,Regular
6619,6791,Male,50,FRA,2367666667,Regular
6591,6761,Female,33,NY,2360833333,Regular
3228,3340,Male,32,MA,214.7,Regular
14754,15026,Male,30,NY,2783333333,Regular
8712,8914,Male,34,VA,248.4,Regular
2563,2658,Male,33,NJ,208.75,Regular
13597,13856,Male,40,CA,2723833333,Regular
1136,1180,Female,36,MN,1933166667,Veloz
20739,21088,Male,21,CT,329.25,Lento
5894,6053,Female,43,CT,2343166667,Regular
2553,2648,Male,27,NY,2095666667,Regular
17636,17958,Male,49,WI,2909333333,Regular
21323,21677,Male,22,PA,3388166667,Lento
14862,15135,Female,21,SC,2750333333,Regular
7396,7580,Male,44,PHI,240.1,Regular
13294,13550,Male,56,BRA,2730666667,Regular
22351,22712,Female,49,CT,3655666667,Lento
14880,15153,Male,31,GBR,2790833333,Regular
21052,21404,Male,50,CA,3298166667,Lento
7518,7703,Male,37,GBR,2418166667,Regular
17371,17691,Male,31,NY,2939666667,Regular
2077,2154,Male,28,NJ,206.25,Regular
8917,9119,Male,53,NED,2496833333,Regular
2919,3021,Male,27,MD,213.05,Regular
17687,18010,Female,32,CO,2962833333,Regular
18412,18741,Female,30,CAN,3014666667,Lento
2685,2782,Male,40,GBR,209.95,Regular
16031,16320,Male,33,CT,287,Regular
17697,18020,Male,35,NED,2954166667,Regular
1741,1806,Male,46,FRA,201.75,Regular
7932,8124,Male,26,GBR,2434666667,Regular
8738,8940,Male,32,NY,2473833333,Regular
4092,4219,Male,37,MEX,222.95,Regular
2997,3105,Male,29,NED,2148666667,Regular
17261,17577,Female,51,NY,2916166667,Regular
3538,3655,Male,23,CT,2174333333,Regular
7446,7631,Male,35,CAN,2351166667,Regular
15198,15475,Male,42,GBR,2757833333,Regular
15263,15541,Male,43,MD,2812166667,Regular
11449,11684,Male,22,NY,261.9,Regular
16583,16883,Female,23,CT,2896666667,Regular
18423,18752,Female,33,GER,3014166667,Lento
11647,11885,Female,29,TX,2643333333,Regular
22184,22542,Male,23,GBR,3558666667,Lento
10478,10702,Male,47,GBR,256.15,Regular
15091,15365,Female,41,NY,2808833333,Regular
10921,11149,Female,21,VA,2590666667,Regular
16165,16458,Female,35,NY,2878833333,Regular
14539,14805,Male,30,NY,2721666667,Regular
11974,12218,Female,31,NY,2640833333,Regular
5807,5964,Male,42,FRA,2326333333,Regular
12719,12971,Female,31,NY,268.4,Regular
6685,6857,Male,46,GBR,237,Regular
7788,7975,Male,30,DC,243.2,Regular
17527,17848,Female,43,NY,2941166667,Regular
15668,15951,Male,33,MA,2837833333,Regular
13080,13334,Male,56,NY,2706333333,Regular
19109,19442,Female,34,FL,3082666667,Lento
3941,4065,Male,43,ITA,222.2,Regular
3628,3746,Male,37,GBR,2199333333,Regular
11026,11255,Male,32,NY,2604833333,Regular
5713,5865,Male,49,ITA,2335666667,Regular
17644,17966,Male,32,NY,2930666667,Regular
21258,21612,Male,34,GBR,3333666667,Lento
17577,17898,Male,63,ITA,2952666667,Regular
16512,16810,Male,40,SUR,2890666667,Regular
17666,17988,Female,34,VEN,291.7,Regular
3424,3540,Male,53,NY,2187833333,Regular
16902,17208,Male,37,LA,290.7,Regular
4561,4693,Male,51,MA,226.55,Regular
22283,22642,Female,20,GBR,361.85,Lento
13565,13824,Female,38,GBR,272.05,Regular
15498,15778,Female,38,NJ,2850666667,Regular
12190,12438,Male,37,ITA,2663833333,Regular
23162,23533,Male,70,ITA,4407666667,Lento
6495,6665,Female,22,GA,237.25,Regular
1275,1322,Male,53,NY,195.1,Veloz
12913,13166,Male,47,CAN,270.5,Regular
22659,23027,Male,40,CA,3792166667,Lento
17021,17330,Female,29,ITA,2884833333,Regular
17944,18271,Male,53,NY,299.3,Regular
20907,21259,Male,33,VA,326.45,Lento
16559,16858,Male,41,FL,2889666667,Regular
7516,7701,Male,40,GBR,239.45,Regular
23269,23641,Male,40,IRL,4915666667,Lento
7339,7522,Male,30,NJ,2417166667,Regular
3274,3387,Male,41,NY,2169166667,Regular
4039,4165,Male,40,RSA,2217833333,Regular
4613,4745,Male,28,ITA,224.7,Regular
20270,20616,Female,31,NY,3173166667,Lento
3738,3859,Male,43,FRA,220.65,Regular
588,611,Male,44,FRA,1807833333,Veloz
21808,22163,Female,48,NJ,349.1,Lento
4681,4814,Male,37,NY,2253833333,Regular
16726,17030,Male,50,CA,291,Regular
3657,3776,Male,50,ITA,2170833333,Regular
17428,17749,Male,32,NY,2942833333,Regular
5204,5347,Female,38,GER,2302833333,Regular
3946,4070,Female,40,FRA,2220333333,Regular
20626,20975,Male,44,CT,325,Lento
16790,17094,Male,50,NJ,293.05,Regular
18641,18972,Male,50,GBR,2999166667,Regular
11155,11386,Female,29,NY,262.2,Regular
19395,19731,Male,32,IL,306.6,Lento
1013,1053,Female,42,MN,1909333333,Veloz
